# 1996 Trawl survey species data,,,,,,,,,,,
# Subsamples were weights and numbers were already converted to whole weight and numbers,,,,,,,,,,,
# Original Subsample data could not be located,,,,,,,,,,,
#,,,,,,,,,,,
#,,,,,,,,,,,
#,,,,,,,,,,,
Year,Haul,Spcode,Wt.Sample1,No.Sample2,Wt.Sample2,No.Sample2,Sample_kg,Sample_n,Whole_kg,Whole_n,Comments
1996,19,68781,0.95,7,0,0,,,9.6,71,
1996,19,69061,0.1,2,0,0,,,1,20,
1996,19,69120,1.2,19,0,0,,,12.2,193,
1996,19,69322,0,0,0,0,,,2.5,6,
1996,19,71001,0.85,0,0,0,,,8.6,0,
1996,19,71753,0.2,1,0,0,,,2,10,
1996,19,71882,0.1,2,0,0,,,1,20,
1996,19,71884,2.6,30,0,0,,,26.4,304,
1996,19,75284,0.02,1,0,0,,,0.2,10,
1996,19,80020,3.9,3,0,0,,,39.5,30,
1996,19,80200,1,2,0,0,,,10.1,20,
1996,19,81742,19.2,0,0,0,,,194.6,0,
1996,19,82510,2.5,50,0,0,,,25.3,507,
1996,19,83020,0.1,3,0,0,,,1,30,
1996,19,91000,0.55,0,0,0,,,5.6,0,
1996,19,99999,0,0,0,0,,,27,0,
1996,19,99999,2.7,0,0,0,,,27.4,0,
1996,20,10210,0.6,12,0,0,,,6,120,
1996,20,10220,3,2,0,0,,,30,20,
1996,20,20040,0.04,2,0,0,,,0.4,20,
1996,20,20322,0.7,1,0,0,,,7,10,
1996,20,21110,0.1,1,0,0,,,1,10,
1996,20,21314,0.05,3,0,0,,,0.5,30,
1996,20,21371,0.1,1,0,0,,,1,10,
1996,20,21735,3.8,40,0,0,,,38,400,
1996,20,23055,0.1,1,0,0,,,1,10,
1996,20,23807,0.05,6,0,0,,,0.5,60,
1996,20,41201,0.02,0,0,0,,,0.2,0,
1996,20,43020,0.35,5,0,0,,,3.5,50,
1996,20,43040,0.05,3,0,0,,,0.5,30,
1996,20,56310,0.02,1,0,0,,,0.2,10,
1996,20,66020,0.01,2,0,0,,,0.1,20,
1996,20,66548,0.02,17,0,0,,,0.2,170,
1996,20,66601,0.02,1,0,0,,,0.2,10,
1996,20,68781,0.4,2,0,0,,,4,20,
1996,20,69061,0.15,7,0,0,,,1.5,70,
1996,20,69090,0.2,2,0,0,,,2,20,
1996,20,69120,1.1,11,0,0,,,11,110,
1996,20,69322,0,0,0,0,,,0.4,2,
1996,20,71001,0.5,0,0,0,,,5,0,
1996,20,71753,0.2,1,0,0,,,2,10,
1996,20,71882,1.1,10,0,0,,,11,100,
1996,20,71884,2.4,17,0,0,,,24,170,
1996,20,75284,0.01,1,0,0,,,0.1,10,
1996,20,80020,4.8,3,0,0,,,48,30,
1996,20,80200,1.4,4,0,0,,,14,40,
1996,20,80594,0.05,7,0,0,,,0.5,70,
1996,20,81742,16.2,0,0,0,,,162,0,
1996,20,82510,1.6,36,0,0,,,16,360,
1996,20,83320,0.01,4,0,0,,,0.1,40,
1996,20,99999,1.9,0,0,0,,,19,0,
1996,21,10210,3.2,56,0,0,,,11.3,197,
1996,21,10285,0.3,3,0,0,,,1.1,11,
1996,21,21314,0.1,2,0,0,,,0.4,7,
1996,21,21371,0.2,2,0,0,,,0.7,7,
1996,21,21735,3.6,45,0,0,,,12.7,158,
1996,21,22200,0.05,1,0,0,,,0.2,4,
1996,21,23807,0.05,1,0,0,,,0.2,4,
1996,21,24100,0.15,2,0,0,,,0.5,7,
